"","species","lat","lon","month","year"
"464","Calvatia gigantea",52.79085,0.742173,9,1982
"465","Calvatia gigantea",53.538776,-1.171573,5,2000
"466","Calvatia gigantea",53.361288,-1.62581,9,1985
"467","Calvatia gigantea",52.60409,1.025898,10,2004
"468","Calvatia gigantea",51.56368,-1.785,11,2004
"469","Calvatia gigantea",53.624646,-0.716285,9,1987
"470","Calvatia gigantea",50.901541,0.771885,11,1997
"471","Calvatia gigantea",53.252144,-4.174845,9,1990
"472","Calvatia gigantea",52.547661,-3.107454,8,1991
"473","Calvatia gigantea",51.738698,-0.915241,9,1999
"474","Calvatia gigantea",52.71817,-3.852044,9,1990
"475","Calvatia gigantea",50.836705,-3.350487,9,1986
"476","Calvatia gigantea",51.563318,-2.362049,10,1999
"477","Calvatia gigantea",53.257289,-0.127659,5,1997
"478","Calvatia gigantea",51.56368,-1.785,7,2000
"479","Calvatia gigantea",52.102234,-1.490434,9,1975
"480","Calvatia gigantea",53.178143,-1.02891,4,1999
"481","Calvatia gigantea",51.383501,-1.642149,5,1999
"482","Calvatia gigantea",52.812331,-0.443596,9,1982
"483","Calvatia gigantea",53.622929,-0.565136,10,2001
"484","Calvatia gigantea",52.102764,-2.366404,10,1998
"485","Calvatia gigantea",51.56368,-1.785,8,2001
"486","Calvatia gigantea",52.196167,-8.512577,9,1989
"487","Calvatia gigantea",52.814183,-0.591911,9,1998
"488","Calvatia gigantea",60.72283,-0.810406,9,1971
"489","Calvatia gigantea",51.112533,-1.358534,9,1998
"491","Calvatia gigantea",52.280379,-2.807609,9,1997
"492","Calvatia gigantea",53.355023,-3.278526,7,1990
"494","Calvatia gigantea",52.517983,0.872556,9,1978
"495","Calvatia gigantea",53.269124,-2.826126,9,1993
"496","Calvatia gigantea",51.350611,0.798913,10,2005
"497","Calvatia gigantea",51.892842,0.687142,9,1984
"498","Calvatia gigantea",51.971863,1.128714,9,1975
"499","Calvatia gigantea",52.639965,-1.188651,4,1997
"500","Calvatia gigantea",53.450605,-1.474448,9,1986
"501","Calvatia gigantea",52.639965,-1.188651,9,1996
"502","Calvatia gigantea",52.361001,-0.312643,9,1973
"504","Calvatia gigantea",53.630935,-1.62343,8,1994
